target;text_name
0;Phyllotopsis nidulans
1;Pleurotus ostreatus
2;Pleurotus pulmonarius
3;Pluteus cervinus
4;Armillaria gallica
5;Armillaria mellea
6;Polyporus squamosus
7;Armillaria tabescens
8;Psathyrella candolleana
9;Pseudohydnum gelatinosum
10;Psilocybe allenii
11;Psilocybe caerulescens
12;Psilocybe cyanescens
13;Psilocybe neoxalapensis
14;Psilocybe ovoideocystidiata
15;Psilocybe pelliculosa
16;Psilocybe zapotecorum
17;Agaricus campestris
18;Rhodocollybia butyracea
19;Russula brevipes
20;Schizophyllum commune
21;Scleroderma citrinum
22;Stereum hirsutum
23;Stropharia ambigua
24;Stropharia rugosoannulata
25;Suillus brevipes
26;Suillus caerulescens
27;Suillus lakei
28;Tapinella atrotomentosa
29;Trametes versicolor
30;Tremella mesenterica
31;Trichaptum abietinum
32;Trichaptum biforme
33;Auriscalpium vulgare
34;Tricholoma murrillianum
35;Tricholoma saponaceum
36;Tricholomopsis rutilans
37;Tubaria furfuracea
38;Tylopilus rubrobrunneus
39;Volvopluteus gloiocephalus
40;Bolbitius titubans
41;Boletus edulis
42;Boletus variipes
43;Cantharellus cinnabarinus
44;Cantharellus formosus
45;Agaricus xanthodermus
46;Ceratiomyxa fruticulosa
47;Chlorophyllum brunneum
48;Chlorophyllum molybdites
49;Agrocybe pediades
50;Agrocybe praecox
51;Clitocybe nuda
52;Clitopilus prunulus
53;Aleuria aurantia
54;Coltricia cinnamomea
55;Coprinellus disseminatus
56;Coprinellus micaceus
57;Coprinopsis atramentaria
58;Coprinopsis lagopus
59;Coprinus comatus
60;Cortinarius iodes
61;Craterellus tubaeformis
62;Crepidotus mollis
63;Flammulina velutipes
64;Amanita amerirubescens
65;Fomitopsis pinicola
66;Fuligo septica
67;Galerina marginata
68;Ganoderma applanatum
69;Ganoderma oregonense
70;Gliophorus psittacinus
71;Amanita bisporigera
72;Amanita brunnescens
73;Grifola frondosa
74;Amanita calyptroderma
75;Gymnopilus luteofolius
76;Gymnopus dryophilus
77;Hericium erinaceus
78;Hygrocybe flavescens
79;Hygrocybe miniata
80;Amanita flavoconia
81;Amanita flavorubens
82;Hygrophoropsis aurantiaca
83;Hygrophorus eburneus
84;Hypholoma capnoides
85;Hypholoma fasciculare
86;Hypholoma lateritium
87;Hypomyces lactifluorum
88;Ischnoderma resinosum
89;Laccaria laccata
90;Lacrymaria lacrymabunda
91;Lactarius alnicola
92;Amanita muscaria
93;Lactarius rubidus
94;Amanita ocreata
95;Laetiporus sulphureus
96;Leccinum scabrum
97;Amanita phalloides
98;Lenzites betulinus
99;Leotia lubrica
100;Lepista nuda
101;Leratiomyces ceres
102;Leratiomyces percevalii
103;Leucoagaricus leucothites
104;Leucocoprinus birnbaumii
105;Lycogala epidendrum
106;Lycoperdon perlatum
107;Lycoperdon pyriforme
108;Marasmius oreades
109;Amanita velosa
110;Mycena haematopus
111;Mycena leaiana
112;Mycena pura
113;Omphalotus illudens
114;Panaeolina foenisecii
115;Panaeolus cinctulus
116;Panaeolus foenisecii
117;Panaeolus papilionaceus
118;Panellus stipticus
119;Agaricus augustus
120;Phaeolus schweinitzii
